scenario,files,rows_per_file,query,duckdb_median_ms,datafusion_median_ms,winner
100_files,100,100,count_star,2.7,0.9,DataFusion
100_files,100,100,selective_filter,3.7,1.6,DataFusion
100_files,100,100,agg_groupby,3.7,2.6,DataFusion
100_files,100,100,count_distinct,3.6,2.6,DataFusion
500_files,500,1000,count_star,12.9,3.6,DataFusion
500_files,500,1000,selective_filter,14.1,7.3,DataFusion
500_files,500,1000,agg_groupby,16.3,12.3,DataFusion
500_files,500,1000,count_distinct,15.1,11.5,DataFusion
1000_files,1000,100,count_star,25.9,6.9,DataFusion
1000_files,1000,100,selective_filter,28.3,13.4,DataFusion
1000_files,1000,100,agg_groupby,31.4,20.6,DataFusion
1000_files,1000,100,count_distinct,28.9,20.6,DataFusion
5000_files,5000,50,count_star,135.2,35.5,DataFusion
5000_files,5000,50,selective_filter,150.8,68.5,DataFusion
5000_files,5000,50,agg_groupby,164.6,107.2,DataFusion
5000_files,5000,50,count_distinct,153.2,108.0,DataFusion
10000_files,10000,50,count_star,289.8,115.2,DataFusion
10000_files,10000,50,selective_filter,326.3,181.5,DataFusion
10000_files,10000,50,agg_groupby,358.1,272.2,DataFusion
10000_files,10000,50,count_distinct,336.1,269.6,DataFusion
